image_path,mask_path,type,split
dataset\images\train\IMG_8207_JPG_jpg.rf.4f4448f3ce3129fb1c8e7d9129308454.jpg,dataset\masks\train\IMG_8207_JPG_jpg.rf.4f4448f3ce3129fb1c8e7d9129308454__segment_taping.png,taping,train
dataset\images\train\IMG_20220627_111136-jpg_1500x2000_jpg.rf.4f26bba7aac732683476731a8405c9a1.jpg,dataset\masks\train\IMG_20220627_111136-jpg_1500x2000_jpg.rf.4f26bba7aac732683476731a8405c9a1__segment_taping.png,taping,train
dataset\images\train\IMG_8206_JPG_jpg.rf.4e26addfe52e788fc5502b9989b1db7b.jpg,dataset\masks\train\IMG_8206_JPG_jpg.rf.4e26addfe52e788fc5502b9989b1db7b__segment_taping.png,taping,train
dataset\images\train\IMG_8240_JPG_jpg.rf.4daef1a86f37fad4ea4b13c06bf5081a.jpg,dataset\masks\train\IMG_8240_JPG_jpg.rf.4daef1a86f37fad4ea4b13c06bf5081a__segment_taping.png,taping,train
dataset\images\train\IMG_8207_JPG_jpg.rf.4d822655715a6e447cd7b069a4310757.jpg,dataset\masks\train\IMG_8207_JPG_jpg.rf.4d822655715a6e447cd7b069a4310757__segment_taping.png,taping,train
dataset\images\train\IMG_8215_JPG_jpg.rf.4d23c8570dfa0f7dd4369c42dc02560e.jpg,dataset\masks\train\IMG_8215_JPG_jpg.rf.4d23c8570dfa0f7dd4369c42dc02560e__segment_taping.png,taping,train
dataset\images\train\IMG_8217_JPG_jpg.rf.50251caa320981a7ec3404abbc546504.jpg,dataset\masks\train\IMG_8217_JPG_jpg.rf.50251caa320981a7ec3404abbc546504__segment_taping.png,taping,train
dataset\images\train\2000x1500_71_resized_jpg.rf.5174c8a59032c10b62b049a2c1d9a25e.jpg,dataset\masks\train\2000x1500_71_resized_jpg.rf.5174c8a59032c10b62b049a2c1d9a25e__segment_taping.png,taping,train
dataset\images\train\2000x1500_18_resized_jpg.rf.50e396aeb4258541f823b1dbb326cb36.jpg,dataset\masks\train\2000x1500_18_resized_jpg.rf.50e396aeb4258541f823b1dbb326cb36__segment_taping.png,taping,train
dataset\images\train\IMG_8236_JPG_jpg.rf.50eb1a1149ff7059be132b0ae2703185.jpg,dataset\masks\train\IMG_8236_JPG_jpg.rf.50eb1a1149ff7059be132b0ae2703185__segment_taping.png,taping,train
dataset\images\train\IMG_8218_JPG_jpg.rf.4d74367feb2dff9b5c107ee074fd0653.jpg,dataset\masks\train\IMG_8218_JPG_jpg.rf.4d74367feb2dff9b5c107ee074fd0653__segment_taping.png,taping,train
